NOC,Pred_Total_Medals,Total_Medals_LowerCI,Total_Medals_UpperCI,2024_Gold_Medals,CI_Margin,Prob_FirstMedal
IND,5.601030307348858,4.8754359828323315,6.326624631865385,6.0,0.725594324516527,0.0
THA,5.382034103989441,5.351281812470381,5.412786395508501,6.0,0.03075229151905977,0.0
COL,5.1252663297292695,5.124857493035025,5.125675166423514,4.0,0.0004088366942443592,0.0
LTU,4.764606462276419,4.758865259400038,4.7703476651528,4.0,0.005741202876381123,0.0
INA,4.588327609307474,4.580261323611008,4.59639389500394,3.0,0.008066285696466158,0.0
MEX,4.4622630840023225,3.7255223754194935,5.1990037925851516,5.0,0.7367407085828293,0.0
BEL,4.3716350812240865,3.7098184619543626,5.033451700493811,10.0,0.661816619269724,0.0
GRE,4.292664736605454,4.174785308625985,4.410544164584923,8.0,0.1178794279794689,0.0
AUT,4.223983050289539,3.487560801691436,4.960405298887642,5.0,0.7364222485981032,0.0
ETH,4.110278521626969,3.6895791429411116,4.530977900312827,4.0,0.42069937868585766,0.0
ISR,4.080055127245246,3.9867751203037716,4.173335134186721,7.0,0.09328000694147462,0.0
ARM,4.006550960932091,4.000619701971924,4.0124822198922585,4.0,0.005931258960167663,0.0
DOM,3.508319921452436,3.508319893554153,3.5083199493507187,3.0,2.7898282692224352e-08,0.0
EGY,3.4396896140550695,2.5120914942946664,4.3672877338154725,3.0,0.927598119760403,0.0
ARG,3.4114235070740757,3.0845559526900166,3.738291061458135,3.0,0.32686755438405907,0.0
IRL,3.409480581465971,3.4041808739931363,3.414780288938806,7.0,0.005299707472834886,0.0
MDA,3.359666523992156,3.2278712494402275,3.491461798544085,4.0,0.13179527455192871,0.0
BRN,3.251080216595811,2.6715910890451484,3.8305693441464737,4.0,0.5794891275506625,0.0
SLO,3.2294132202537797,3.229348871949073,3.2294775685584867,3.0,6.434830470677087e-05,0.0
SMR,2.999999947991225,2.999999920807972,2.999999975174478,0.0,2.7183253100541786e-08,0.0
QAT,2.9724132643347305,2.9615643403489917,2.9832621883204693,1.0,0.01084892398573882,0.0
VEN,2.945787123928154,2.7017645830022676,3.1898096648540406,0.0,0.24402254092588632,0.0
RSA,2.854118984621212,2.3733080702021097,3.334929899040314,6.0,0.4808109144191021,0.0
POR,2.788199383633802,2.5584973439792185,3.017901423288386,4.0,0.22970203965458377,0.0
PHI,2.65182705238362,2.5154758775195205,2.7881782272477196,4.0,0.13635117486409934,0.0
TUN,2.6379402893016746,2.6160218220513176,2.6598587565520315,3.0,0.02191846725035678,0.0
BAH,2.0588695779919135,1.9526983753569978,2.1650407806268293,0.0,0.10617120263491565,0.0
GRN,1.99999996506858,1.9999999348512865,1.9999999952858736,2.0,3.021729345376569e-08,0.0
LAT,1.961284526863168,1.9072650465057974,2.015304007220539,0.0,0.05401948035737066,0.0
MAS,1.9310467170043155,1.9310089106159347,1.9310845233926963,2.0,3.780638838086263e-05,0.0
FIJ,1.8123285999211791,1.8123285702304328,1.8123286296119254,1.0,2.9690746241664706e-08,0.0
ECU,1.755166407427314,1.193487049380701,2.3168457654739267,5.0,0.561679358046613,0.0
JOR,1.5813805672112546,1.5813805386092068,1.5813805958133025,1.0,2.8602047841777037e-08,0.0
