NOC,Best_Params,CV_MSE,CV_RMSE,Train_MSE,Train_RMSE,Train_R2
BOL,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
BOT,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0}",0.10000000000000002,0.31622776601683794,2.1485635166054702e-16,1.465797911243385e-08,0.9999999999999972
BRA,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",1.4275644601418016,1.1948072899601012,0.002342616881785867,0.048400587618187725,0.9994577275736607
BRN,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",0.29443670180961806,0.542620218762274,0.019483909026383386,0.13958477361941518,0.9528489401561522
BRU,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
BUL,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8}",3.7015644745936394,1.9239450289947577,3.0779647760424257e-07,0.0005547940857689838,0.9999999600071154
BUR,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
CAF,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
CAM,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
CAN,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}",4.1510789687559235,2.037419684001292,0.00638781853554049,0.07992382958505236,0.9990515262379256
