NOC,Best_Params,CV_MSE,CV_RMSE,Train_MSE,Train_RMSE,Train_R2
SMR,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0}",0.6,0.7745966692414834,1.8032751224948129e-16,1.3428607978844318e-08,0.9999999999999997
SOL,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
SOM,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
SRB,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8}",6.036457309305325,2.4569202895709346,1.1231746094904118e-06,0.0010597993251037726,0.999999900462644
SRI,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8}",0.05591728046412664,0.23646834981478312,2.1344746420362863e-05,0.004620037491229142,0.9995719192523471
STP,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
SUD,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 1.0}",0.07731977899200779,0.27806434325890794,0.0005401219698445566,0.023240524302273316,0.9918566226084975
SUI,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0}",28.92245008734046,5.377959658396525,0.009259996383129989,0.09622887499669727,0.9997529605095723
SUR,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 1.0}",0.18487681246385682,0.4299730369033119,5.414254155429735e-07,0.0007358161560763487,0.9999955783591064
SVK,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",3.6061611155469793,1.8989894985352023,1.997467115256066e-09,4.469303206603985e-05,0.9999999991533914
SWE,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}",228.44435220669865,15.114375680348118,0.12695197335137004,0.35630320423954936,0.9995186837528383
SWZ,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
SYR,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}",0.4374103971064308,0.6613700908768334,0.004982338392524847,0.07058568121456962,0.9745221332200434
TAN,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",0.27925359364493346,0.5284445038458944,0.001039267604810745,0.03223767368795002,0.9958243712306711
TGA,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",0.18920690322482475,0.43497919861164025,0.0109372923118914,0.1045815103729689,0.867658763026114
THA,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",4.599636069539222,2.1446762155484502,0.00023249800968990056,0.01524788541699801,0.9999638013670641
