NOC,Pred_Gold_Medals,Gold_Medals_LowerCI,Gold_Medals_UpperCI,2024_Gold_Medals,CI_Margin,Prob_FirstMedal
TPE,1.7231438819542568,1.723139651697947,1.7231481122105667,2.0,4.230256309870134e-06,0
BRN,1.660430393892209,1.3737994232681277,1.9470613645162902,2.0,0.2866309706240812,0
SUI,1.5338516609477564,1.5039711730004832,1.5637321488950295,1.0,0.02988048794727313,0
BEL,1.472729895061843,1.4380090474464613,1.5074507426772248,3.0,0.03472084761538178,0
BAH,1.3521478834377554,1.221350249921084,1.4829455169544268,0.0,0.1307976335166714,0
CHI,1.2503561770074592,1.1720081027414757,1.3287042512734426,1.0,0.07834807426598335,0
ISR,1.201451084538043,1.2014510563064469,1.2014511127696392,1.0,2.8231596095096797e-08,0
THA,1.175571562777031,0.8947945887510018,1.45634853680306,1.0,0.280776974026029,0
UKR,1.1485409228055405,1.1485293508999281,1.148552494711153,3.0,1.1571905612451618e-05,0
LAT,1.1302396464979172,1.0588106330463236,1.2016686599495108,0.0,0.07142901345159369,0
AZE,1.0973675931846705,0.39624432414581257,1.7984908622235283,2.0,0.7011232690388579,0
UGA,1.0894116698548575,0.9764702262495187,1.2023531134601964,1.0,0.11294144360533875,0
VEN,1.0794627860954704,1.079429225807764,1.0794963463831768,0.0,3.356028770650263e-05,0
ETH,1.0642933951809126,0.9174957641422489,1.2110910262195764,1.0,0.14679763103866375,0
BLR,1.0000000128387376,0.9999999826277198,1.0000000430497553,,3.021101779660954e-08,0
BOT,0.9999999513849831,0.9999999213778538,0.9999999813921124,1.0,3.000712934449516e-08,0
DOM,0.9999800789508343,0.9999567968581862,1.0000033610434824,1.0,2.3282092648145027e-05,0
ALG,0.9766386056942439,0.974052137123065,0.9792250742654227,2.0,0.002586468571178807,0
FIN,0.9478936817547816,0.4714244153875879,1.4243629481219753,0.0,0.4764692663671937,0
PHI,0.9048092871474618,0.9048092590539977,0.9048093152409259,2.0,2.8093464131707646e-08,0
AUT,0.8695482996257745,0.4667615417961175,1.2723350574554315,2.0,0.402786757829657,0
MAR,0.7655903874688206,0.48641190952181884,1.0447688654158223,1.0,0.27917847794700174,0
PAK,0.7580907765163561,0.6220851042604914,0.8940964487722209,1.0,0.1360056722558648,0
ARG,0.702516877172247,0.5535731838423998,0.8514605705020941,1.0,0.14894369332984717,0
TUN,0.699505812735172,0.48099999876394134,0.9180116267064027,1.0,0.21850581397123064,0
ECU,0.6354147763605928,0.32739672053326374,0.943432832187922,1.0,0.3080180558273291,0
KAZ,0.5897778938004994,0.5767116198009408,0.602844167800058,1.0,0.0130662739995586,0
TUR,0.5691263081744169,0.5682599923687193,0.5699926239801145,0.0,0.0008663158056976761,0
NFL,0.49471515447641023,-9.768295591490544,10.757725900443363,,10.263010745966954,0
LTU,0.4512844953848598,0.45125453549448985,0.4513144552752298,0.0,2.995989036995141e-05,0
EGY,0.4044186408386157,0.3365496611574172,0.47228762051981416,1.0,0.06786897968119847,0
